Country/Region;Province/State;01.01.2023;01.02.2023;01.03.2023;01.04.2023;01.05.2023;01.06.2023;01.07.2023;01.08.2023;01.09.2023;01.10.2023;01.11.2023;01.12.2023;1/13/23;1/14/23;1/15/23;1/16/23;1/17/23;1/18/23;1/19/23;1/20/23;1/21/23;1/22/23;1/23/23;1/24/23;1/25/23;1/26/23;1/27/23;1/28/23;1/29/23;1/30/23;1/31/23;02.01.2023;02.02.2023;02.03.2023;02.04.2023;02.05.2023;02.06.2023;02.07.2023;02.08.2023;02.09.2023;02.10.2023;02.11.2023;02.12.2023;2/13/23;2/14/23;2/15/23;2/16/23;2/17/23;2/18/23;2/19/23;2/20/23;2/21/23;2/22/23;2/23/23;2/24/23;2/25/23;2/26/23;2/27/23;2/28/23;03.01.2023;03.02.2023;03.03.2023;03.04.2023;03.05.2023;03.06.2023;03.07.2023;03.08.2023;03.09.2023;
Afghanistan;;7849;7849;7850;7850;7850;7850;7850;7853;7854;7854;7854;7854;7854;7854;7854;7857;7859;7860;7864;7864;7864;7864;7870;7871;7872;7872;7875;7876;7876;7879;7882;7882;7891;7891;7894;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;7896;
Albania;;3595;3595;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3596;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;
Algeria;;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;6881;
Andorra;;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;165;
Angola;;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1930;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1931;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;1933;
Antarctica;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Antigua and Barbuda;;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;146;
Argentina;;130124;130171;130171;130171;130171;130171;130171;130171;130249;130249;130249;130249;130249;130249;130249;130338;130338;130338;130338;130338;130338;130338;130394;130394;130394;130394;130394;130394;130394;130421;130421;130421;130421;130421;130421;130421;130437;130437;130437;130437;130437;130437;130437;130448;130448;130448;130448;130448;130448;130448;130458;130458;130458;130458;130458;130458;130458;130463;130463;130463;130463;130463;130463;130463;130472;130472;130472;130472;
Armenia;;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8716;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8717;8719;8719;8719;8719;8719;8719;8719;8719;8719;8719;8719;8719;8719;8719;8721;8721;8721;8721;8721;8721;8721;8721;8721;8721;8721;8721;8721;8721;8727;8727;
Australia;Australian Capital Territory;138;138;138;138;142;142;142;142;142;142;142;148;148;148;148;148;148;148;148;148;148;148;148;148;148;152;152;152;152;152;152;152;152;157;157;157;157;157;157;157;157;157;157;157;157;157;157;224;224;224;224;224;224;224;224;224;224;224;224;224;228;228;228;228;228;228;228;228;
Australia;New South Wales;5804;5804;5804;5804;5881;5881;5881;5881;5881;5881;5881;5993;5993;5993;5993;5993;5993;5993;6124;6124;6124;6124;6124;6124;6124;6218;6218;6218;6218;6218;6218;6218;6304;6304;6304;6304;6304;6304;6304;6366;6366;6366;6366;6366;6366;6366;6417;6417;6417;6417;6417;6417;6417;6464;6464;6464;6464;6464;6464;6464;6493;6493;6493;6493;6493;6493;6493;6529;
Australia;Northern Territory;84;84;84;84;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;91;
Australia;Queensland;2405;2405;2405;2405;2449;2449;2449;2449;2449;2449;2449;2526;2526;2526;2526;2526;2526;2526;2526;2574;2574;2574;2574;2574;2574;2643;2643;2643;2643;2643;2643;2643;2677;2677;2677;2677;2677;2677;2677;2710;2710;2710;2710;2710;2710;2710;2734;2734;2734;2734;2734;2734;2734;2760;2760;2760;2760;2760;2760;2760;2783;2783;2783;2783;2783;2783;2783;2783;
Australia;South Australia;1155;1155;1155;1155;1170;1170;1170;1170;1170;1170;1170;1203;1203;1203;1203;1203;1203;1203;1224;1224;1224;1224;1224;1224;1224;1235;1235;1235;1235;1235;1235;1235;1244;1244;1244;1244;1244;1244;1244;1333;1333;1333;1333;1333;1333;1333;1333;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1322;1365;
Australia;Tasmania;224;224;224;224;229;229;229;229;229;229;229;229;237;237;237;237;237;237;240;240;240;240;240;240;240;244;244;244;244;244;244;244;247;247;247;247;247;247;247;247;247;247;247;247;247;247;247;250;250;250;250;250;250;250;252;252;252;252;252;252;252;253;253;253;253;253;253;256;
Australia;Victoria;6405;6405;6435;6465;6490;6490;6490;6506;6535;6566;6597;6639;6638;6638;6638;6638;6638;6638;6794;6794;6794;6794;6794;6794;6794;7116;7116;7116;7116;7116;7116;7116;7186;7181;7181;7181;7181;7181;7181;7232;7232;7232;7232;7232;7232;7232;7286;7286;7286;7286;7286;7286;7286;7317;7317;7317;7317;7317;7317;7317;7338;7338;7338;7338;7338;7338;7338;7370;
Australia;Western Australia;837;837;837;837;837;856;856;856;856;856;856;856;880;880;880;880;880;880;880;901;901;901;901;901;901;901;920;920;920;920;920;920;931;931;931;931;931;931;931;931;938;938;938;938;938;938;938;942;942;942;942;942;942;944;944;944;944;944;944;944;952;952;952;952;952;952;952;952;
Austria;;21443;21444;21448;21466;21473;21482;21484;21487;21490;21517;21536;21546;21558;21564;21564;21565;21576;21589;21595;21609;21613;21626;21626;21640;21646;21649;21658;21661;21661;21662;21689;21696;21709;21736;21755;21755;21755;21765;21768;21773;21773;21781;21788;21789;21795;21796;21799;21807;21820;21820;21820;21825;21848;21853;21858;21872;21872;21872;21887;21891;21899;21907;21921;21922;21923;21941;21949;21970;
Azerbaijan;;10008;10008;10008;10008;10009;10013;10017;10020;10023;10027;10033;10037;10042;10045;10049;10050;10054;10060;10064;10067;10068;10068;10068;10075;10077;10077;10080;10081;10081;10081;10085;10087;10092;10094;10095;10096;10096;10096;10097;10097;10098;10098;10098;10099;10099;10099;10101;10102;10103;10103;10103;10105;10108;10111;10114;10116;10117;10117;10119;10119;10122;10126;10127;10129;10129;10135;10138;10138;
Bahamas;;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;833;
Bahrain;;1539;1539;1539;1539;1539;1539;1539;1539;1539;1539;1539;1539;1539;1540;1540;1540;1540;1540;1540;1541;1541;1541;1541;1541;1541;1541;1542;1542;1543;1543;1543;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1544;1548;1548;1548;1548;1548;1548;1548;1548;1548;1548;1549;1550;1552;1552;1552;1552;1553;1553;1553;
Bangladesh;;29440;29440;29440;29440;29440;29440;29440;29440;29440;29440;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29441;29442;29442;29442;29442;29443;29443;29443;29443;29443;29444;29444;29444;29444;29444;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;29445;
Barbados;;568;568;568;568;568;568;568;568;569;569;569;569;569;569;569;569;569;569;569;569;569;569;569;571;571;571;571;571;571;571;571;571;571;571;571;571;571;573;573;573;573;573;573;573;573;573;573;573;573;573;573;575;575;575;575;575;575;575;575;575;575;575;575;575;575;575;575;579;
Belarus;;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;7118;
